fa_flight_id,scheduled_in_utc,actual_in_utc,arr_delay_min,departure_delay_min,cancelled,diverted,settled_at_utc,ident_iata,tail_num,op_carrier,origin,dest
JIA5015-1778046576-airline-1217p,2026-05-08T13:26:00,2026-05-08T13:04:00Z,-22.0,-4.0,0,0,2026-05-08T13:15:25.749695+00:00,OH5015,N554NN,OH,PHL,ATL
DAL2451-1778041350-fa-139p,2026-05-08T13:20:00,2026-05-08T13:04:00Z,-16.0,-5.0,0,0,2026-05-08T13:15:25.749695+00:00,DL2451,N943DZ,DL,VPS,ATL
AAL1261-1778047132-airline-2082p,2026-05-08T13:25:00,2026-05-08T13:04:00Z,-21.0,-7.0,0,0,2026-05-08T13:18:04.916211+00:00,AA1261,N164NN,AA,MCI,DFW
AAL2994-1778046028-airline-346p,2026-05-08T13:30:00,2026-05-08T13:04:00Z,-26.0,-10.0,0,0,2026-05-08T13:18:04.916211+00:00,AA2994,N322TH,AA,MFE,DFW
AAL361-1778052015-airline-1053p,2026-05-08T13:10:00,2026-05-08T13:04:00Z,-6.0,-5.0,0,0,2026-05-08T13:20:18.961253+00:00,AA361,N907NN,AA,MIA,CLT
SKW4714-1778044117-airline-179p,2026-05-08T12:57:00,2026-05-08T13:04:00Z,7.0,-6.0,0,0,2026-05-08T13:22:36.988905+00:00,OO4714,N924SW,OO,FNT,ORD
DAL201-1777954630-fa-540p,2026-05-08T12:45:00,2026-05-08T13:03:00Z,18.0,24.0,0,0,2026-05-08T13:15:25.749695+00:00,DL201,N521DN,DL,JNB,ATL
DAL330-1778040765-fa-685p,2026-05-08T12:59:00,2026-05-08T13:03:00Z,4.0,3.0,0,0,2026-05-08T13:15:25.749695+00:00,DL330,N321NB,DL,DCA,ATL
FFT2633-1778046457-airline-586p,2026-05-08T13:01:00,2026-05-08T13:03:00Z,2.0,17.0,0,0,2026-05-08T13:15:25.749695+00:00,F92633,N645FR,F9,BWI,ATL
DAL1085-1778041669-fa-498p,2026-05-08T13:20:00,2026-05-08T13:03:00Z,-17.0,-8.0,0,0,2026-05-08T13:15:25.749695+00:00,DL1085,N960AT,DL,GSO,ATL
FFT4017-1778054671-airline-36p,2026-05-08T12:50:00,2026-05-08T13:03:00Z,13.0,-7.0,0,0,2026-05-08T13:18:04.916211+00:00,F94017,N375FR,F9,MCO,DFW
AAL1670-1778042851-airline-293p,2026-05-08T12:50:00,2026-05-08T13:03:00Z,13.0,0.0,0,0,2026-05-08T13:18:04.916211+00:00,AA1670,N951XV,AA,PHL,DFW
SKW6458-1778042934-airline-1656p,2026-05-08T13:36:00,2026-05-08T13:03:00Z,-33.0,-5.0,0,0,2026-05-08T13:21:28.380277+00:00,OO6458,N702SK,OO,ORD,BNA
ENY3572-1778044261-airline-1752p,2026-05-08T13:25:00,2026-05-08T13:03:00Z,-22.0,10.0,0,0,2026-05-08T13:22:36.988905+00:00,MQ3572,N279MQ,MQ,CMH,ORD
JBU905-1778043091-airline-120p,2026-05-08T12:44:00,2026-05-08T13:03:00Z,19.0,-3.0,0,0,2026-05-08T13:22:36.988905+00:00,B6905,N3242J,B6,JFK,ORD
DAL2544-1778041553-fa-30p,2026-05-08T13:05:00,2026-05-08T13:03:00Z,-2.0,7.0,0,0,2026-05-08T13:24:10.659455+00:00,DL2544,N110DU,DL,DEN,SLC
EDV5145-1778043903-airline-829p,2026-05-08T13:15:00,2026-05-08T13:02:00Z,-13.0,3.0,0,0,2026-05-08T13:14:20.196110+00:00,9E5145,N303PQ,9E,ATL,CAE
DAL3129-1778041308-fa-136p,2026-05-08T13:20:00,2026-05-08T13:02:00Z,-18.0,-6.0,0,0,2026-05-08T13:15:25.749695+00:00,DL3129,N924DZ,DL,PNS,ATL
ENY4201-1778052213-airline-313p,2026-05-08T12:15:00,2026-05-08T13:02:00Z,47.0,-1.0,0,0,2026-05-08T13:18:04.916211+00:00,MQ4201,N770JM,MQ,GGG,DFW
DAL2232-1778041618-fa-936p,2026-05-08T13:21:00,2026-05-08T13:01:00Z,-20.0,-6.0,0,0,2026-05-08T13:14:20.196110+00:00,DL2232,N948AT,DL,ATL,LEX
SKW6329-1778042934-airline-1490p,2026-05-08T12:30:00,2026-05-08T13:01:00Z,31.0,-8.0,0,0,2026-05-08T13:18:04.916211+00:00,OO6329,N751SK,OO,BPT,DFW
DAL2039-1778041618-fa-931p,2026-05-08T13:29:00,2026-05-08T13:01:00Z,-28.0,-9.0,0,0,2026-05-08T13:21:28.380277+00:00,DL2039,N943AT,DL,ORD,DTW
RPA4692-1778045167-airline-900p,2026-05-08T11:36:00,2026-05-08T13:01:00Z,85.0,83.0,0,0,2026-05-08T13:22:36.988905+00:00,YX4692,N428YX,YX,SDF,ORD
EDV5169-1778045777-airline-1607p,2026-05-08T13:11:00,2026-05-08T13:00:00Z,-11.0,-5.0,0,0,2026-05-08T13:14:20.196110+00:00,9E5169,N147PQ,9E,ATL,HSV
DAL1266-1778040455-fa-197p,2026-05-08T12:55:00,2026-05-08T13:00:00Z,5.0,5.0,0,0,2026-05-08T13:14:20.196110+00:00,DL1266,N323DN,DL,ATL,PBI
DAL1285-1778040816-fa-76p,2026-05-08T13:26:00,2026-05-08T13:00:00Z,-26.0,-3.0,0,0,2026-05-08T13:15:25.749695+00:00,DL1285,N349NW,DL,MDW,ATL
AAL1595-1778042851-airline-208p,2026-05-08T13:18:00,2026-05-08T13:00:00Z,-18.0,-4.0,0,0,2026-05-08T13:18:04.916211+00:00,AA1595,N878NN,AA,AUS,DFW
DAL2491-1778041577-fa-75p,2026-05-08T13:01:00,2026-05-08T13:00:00Z,-1.0,-8.0,0,0,2026-05-08T13:19:13.080558+00:00,DL2491,N118DU,DL,CLT,MSP
AAL2984-1778046028-airline-331p,2026-05-08T13:12:00,2026-05-08T13:00:00Z,-12.0,4.0,0,0,2026-05-08T13:21:28.380277+00:00,AA2984,N326RP,AA,ORD,MIA
AAL357-1778052015-airline-954p,2026-05-08T12:39:00,2026-05-08T13:00:00Z,21.0,-5.0,0,0,2026-05-08T13:21:28.380277+00:00,AA357,N993AN,AA,ORD,DFW
AAL2099-1778053491-airline-806p,2026-05-08T13:25:00,2026-05-08T13:00:00Z,-25.0,-4.0,0,0,2026-05-08T13:22:36.988905+00:00,AA2099,N339PL,AA,EWR,ORD
UAL1355-1777984561-fa-1126p,2026-05-08T12:53:00,2026-05-08T13:00:00Z,7.0,-3.0,0,0,2026-05-08T13:22:36.988905+00:00,UA1355,N33294,UA,BNA,ORD
