iata,state,timezone,iem_network,iem_validated,iem_name,iem_lat,iem_lon
MEI,MS,America/Chicago,MS_ASOS,True,MERIDIAN/KEY FIELD,32.3348,-88.7511
MEM,TN,America/Chicago,TN_ASOS,True,MEMPHIS INTL ARPT,35.0611,-89.985
MFE,TX,America/Chicago,TX_ASOS,True,MCALLEN/MILLER INTL,26.1758,-98.2386
MFR,OR,America/Los_Angeles,OR_ASOS,True,MEDFORD/JACKSON CO.,42.3811,-122.8722
MGM,AL,America/Chicago,AL_ASOS,True,MONTGOMERY/DANNELLY,32.3006,-86.394
MGW,WV,America/New_York,WV_ASOS,True,MORGANTOWN/HART FLD,39.6429,-79.9163
MHK,KS,America/Chicago,KS_ASOS,True,MANHATTAN,39.1353,-96.6778
MHT,NH,America/New_York,NH_ASOS,True,MANCHESTER AIRPARK,42.9328,-71.4358
MIA,FL,America/New_York,FL_ASOS,True,MIAMI INTL AIRPORT,25.788,-80.3169
MKE,WI,America/Chicago,WI_ASOS,True,MILWAUKEE,42.9472,-87.8967
MLB,FL,America/New_York,FL_ASOS,True,MELBOURNE REGIONAL,28.1028,-80.6453
MLI,IL,America/Chicago,IL_ASOS,True,Moline,41.4485,-90.5075
MLU,LA,America/Chicago,LA_ASOS,True,MONROE REGIONAL,32.5109,-92.0377
MOB,AL,America/Chicago,AL_ASOS,True,MOBILE/BATES FIELD,30.6883,-88.2456
MOT,ND,America/Chicago,ND_ASOS,True,MINOT_INTL,48.2594,-101.2803
MQT,MI,America/New_York,MI_ASOS,False,,,
MRY,CA,America/Los_Angeles,CA_ASOS,True,Monterey Peninsula,36.5904,-121.8488
MSN,WI,America/Chicago,WI_ASOS,True,MADISON,43.1406,-89.3453
MSO,MT,America/Denver,MT_ASOS,True,MISSOULA/BELL FIELD,46.9208,-114.0925
MSP,MN,America/Chicago,MN_ASOS,True,MINNEAPOLIS,44.8854,-93.2313
MSY,LA,America/Chicago,LA_ASOS,True,NEW ORLEANS/MOISANT,29.9933,-90.2511
MTJ,CO,America/Denver,CO_ASOS,True,MONTROSE CO. ARPT,38.505,-107.8975
MYR,SC,America/New_York,SC_ASOS,True,MYRTLE BEACH(CIV),33.68,-78.93
OAJ,NC,America/New_York,NC_ASOS,True,JACKSONVILLE_(AWOS),34.8292,-77.6121
OAK,CA,America/Los_Angeles,CA_ASOS,True,Oakland,37.7178,-122.233
OGG,HI,Pacific/Honolulu,HI_ASOS,False,,,
OKC,OK,America/Chicago,OK_ASOS,True,Oklahoma City,35.3889,-97.6006
OMA,NE,America/Chicago,NE_ASOS,True,OMAHA/EPPLEY,41.3103,-95.8992
OME,AK,America/Anchorage,AK_ASOS,False,,,
ONT,CA,America/Los_Angeles,CA_ASOS,True,ONTARIO INTL ARPT,34.056,-117.6012
ORD,IL,America/Chicago,IL_ASOS,True,Chicago OHare,41.9602,-87.9316
ORF,VA,America/New_York,VA_ASOS,True,NORFOLK INTL ARPT,36.9033,-76.1922
ORH,MA,America/New_York,MA_ASOS,True,Worcester,42.2673,-71.8757
OTH,OR,America/Los_Angeles,OR_ASOS,True,North Bend,43.4195,-124.2437
OTZ,AK,America/Anchorage,AK_ASOS,False,,,
PAE,WA,America/Los_Angeles,WA_ASOS,True,Everett - Paine Field,47.907,-122.2816
PBG,NY,America/New_York,NY_ASOS,True,Plattsburgh AFB,44.6382,-73.4624
PBI,FL,America/New_York,FL_ASOS,True,WEST PALM BEACH,26.6847,-80.0994
PDX,OR,America/Los_Angeles,OR_ASOS,True,PORTLAND INTL ARPT,45.5908,-122.6003
PGD,FL,America/New_York,FL_ASOS,True,PUNTA GORDA,26.9172,-81.9914
PHL,PA,America/New_York,PA_ASOS,True,Philadelphia Intl,39.8734,-75.2266
PHX,AZ,America/Phoenix,AZ_ASOS,True,PHOENIX/SKY HARBOR,33.4343,-112.0116
PIA,IL,America/Chicago,IL_ASOS,True,PEORIA,40.6675,-89.6839
PIB,MS,America/Chicago,MS_ASOS,True,PINE BELT RGNL AWOS,31.4671,-89.3371
PIE,FL,America/New_York,FL_ASOS,True,SAINT PETERSBURG,27.91,-82.6874
